STATE,ST_CASE,FATALS
4,40960,1
4,40961,1
4,40962,1
4,40963,1
4,40964,1
4,40965,1
4,40967,1
4,40968,1
4,40969,1
4,40970,1
4,40971,1
4,40972,1
4,40973,1
4,40974,1
4,40975,1
4,40976,2
4,40977,1
4,40978,1
4,40979,1
4,40980,1
4,40981,1
4,40982,1
4,40983,1
4,40984,1
4,40985,1
4,40986,1
4,40987,2
4,40988,1
4,40989,1
4,40990,1
4,40991,1
4,40992,1
4,40993,1
4,40994,1
4,40995,1
4,40996,2
4,40997,2
4,40998,2
4,40999,1
4,41000,1
4,41001,1
4,41002,1
4,41003,1
4,41004,1
4,41005,1
4,41006,1
4,41007,1
4,41008,1
4,41009,1
4,41010,1
4,41011,1
4,41012,1
4,41013,1
4,41014,1
4,41015,1
4,41016,1
4,41017,1
4,41018,1
4,41019,1
4,41020,1
4,41021,1
4,41023,1
4,41024,1
4,41025,1
4,41026,1
4,41027,1
4,41028,2
4,41029,1
4,41030,1
4,41031,1
4,41032,1
4,41033,2
4,41034,1
4,41035,1
4,41036,1
4,41037,1
4,41038,1
4,41040,1
4,41041,1
4,41042,1
4,41043,1
4,41044,1
4,41045,1
4,41046,2
4,41047,1
4,41048,1
4,41049,1
4,41050,1
4,41051,1
4,41052,1
4,41053,1
4,41054,1
4,41055,1
4,41056,1
4,41057,1
4,41058,1
4,41060,1
4,41061,1
4,41062,1
4,41063,1
4,41064,1
4,41065,1
4,41066,1
4,41067,2
4,41068,1
4,41069,1
4,41070,2
4,41071,1
4,41072,1
